COD_UF;COD_MUN;COD_ESPECIE;LATITUDE;LONGITUDE;NV_GEO_COORD
35;3526902;6;-22.562859;-47.400629;1
35;3526902;6;-22.562903;-47.400686;1
35;3526902;1;-22.562991;-47.400620;1
35;3526902;1;-22.562881;-47.400764;1
35;3526902;6;-22.562879;-47.400817;1
35;3526902;6;-22.562833;-47.400759;1
35;3526902;6;-22.562797;-47.400794;1
35;3526902;1;-22.561849;-47.400126;1
35;3526902;1;-22.561845;-47.400164;1
35;3526902;1;-22.561815;-47.400079;1
35;3526902;1;-22.561747;-47.400055;1
35;3526902;6;-22.561640;-47.399975;1
35;3526902;6;-22.561856;-47.400157;1
35;3526902;6;-22.561701;-47.399936;1
35;3526902;1;-22.561702;-47.399982;1
35;3526902;1;-22.561662;-47.400035;1
35;3526902;6;-22.561643;-47.399930;1
35;3526902;6;-22.561475;-47.399918;1
35;3526902;6;-22.561535;-47.399797;1
35;3526902;1;-22.561454;-47.399779;1
35;3526902;1;-22.561452;-47.399670;1
35;3526902;1;-22.561625;-47.399371;1
35;3526902;1;-22.561668;-47.399327;1
35;3526902;1;-22.561724;-47.399272;1
35;3526902;1;-22.561677;-47.399237;1
35;3526902;1;-22.561780;-47.399188;1
35;3526902;1;-22.561852;-47.399086;1
35;3526902;1;-22.561836;-47.399074;1
35;3526902;1;-22.561871;-47.399115;1
35;3526902;1;-22.561960;-47.399069;1
35;3526902;6;-22.562050;-47.398969;1
35;3526902;6;-22.561972;-47.399056;1
35;3526902;1;-22.562109;-47.399086;1
35;3526902;1;-22.562160;-47.399129;1
35;3526902;1;-22.562118;-47.399207;1
35;3526902;1;-22.562218;-47.399276;1
35;3526902;1;-22.562206;-47.399207;1
35;3526902;6;-22.562241;-47.399258;1
35;3526902;1;-22.562375;-47.399307;1
35;3526902;6;-22.562489;-47.399772;1
35;3526902;6;-22.562387;-47.399915;1
35;3526902;6;-22.562251;-47.400050;1
35;3526902;1;-22.562135;-47.400102;1
35;3526902;6;-22.562111;-47.400147;1
35;3526902;6;-22.562115;-47.400285;1
35;3526902;6;-22.562078;-47.400297;1
35;3526902;1;-22.562571;-47.399661;1
35;3526902;1;-22.562492;-47.399581;1
35;3526902;1;-22.562491;-47.399587;1
35;3526902;1;-22.562427;-47.399470;1
35;3526902;6;-22.562427;-47.399470;1
35;3526902;1;-22.562233;-47.399148;1
35;3526902;1;-22.562219;-47.399152;1
35;3526902;1;-22.562290;-47.398805;1
35;3526902;6;-22.562381;-47.398807;1
35;3526902;6;-22.562444;-47.398753;1
35;3526902;6;-22.562674;-47.398522;1
35;3526902;6;-22.563034;-47.398732;1
35;3526902;7;-22.563130;-47.398850;1
35;3526902;6;-22.563266;-47.398980;1
35;3526902;6;-22.563190;-47.399005;1
35;3526902;1;-22.563113;-47.399138;1
35;3526902;6;-22.563106;-47.399135;1
35;3526902;6;-22.563084;-47.399152;1
35;3526902;1;-22.563071;-47.399231;1
35;3526902;1;-22.563029;-47.399291;1
35;3526902;6;-22.563003;-47.399294;1
35;3526902;1;-22.563003;-47.399294;1
35;3526902;1;-22.562933;-47.399308;1
35;3526902;1;-22.562914;-47.399433;1
35;3526902;6;-22.563285;-47.400439;1
35;3526902;6;-22.563029;-47.400547;1
35;3526902;6;-22.563032;-47.400419;1
35;3526902;6;-22.562924;-47.400545;1
35;3526902;6;-22.562927;-47.400735;1
35;3526902;6;-22.562794;-47.400799;1
35;3526902;6;-22.562747;-47.400871;1
35;3526902;6;-22.562662;-47.400990;1
35;3526902;6;-22.563356;-47.400416;1
35;3526902;6;-22.563364;-47.400562;1
35;3526902;6;-22.563446;-47.400508;1
35;3526902;6;-22.563468;-47.400546;1
35;3526902;6;-22.563466;-47.400465;1
35;3526902;6;-22.563383;-47.400538;1
35;3526902;1;-22.563394;-47.400630;1
35;3526902;8;-22.563394;-47.400630;1
35;3526902;6;-22.563938;-47.401078;1
35;3526902;5;-22.563419;-47.400652;1
35;3526902;1;-22.563419;-47.400652;1
35;3526902;1;-22.563419;-47.400652;1
35;3526902;1;-22.563419;-47.400652;1
35;3526902;6;-22.563810;-47.401321;1
35;3526902;6;-22.563702;-47.401387;1
35;3526902;6;-22.563785;-47.401421;1
35;3526902;6;-22.563607;-47.401428;1
35;3526902;6;-22.563569;-47.401381;1
35;3526902;6;-22.563337;-47.401523;1
35;3526902;6;-22.563358;-47.401724;1
35;3526902;6;-22.562621;-47.401080;1
35;3526902;6;-22.562762;-47.401091;1
35;3526902;6;-22.562708;-47.401247;1
35;3526902;6;-22.562815;-47.401136;1
35;3526902;6;-22.562786;-47.401328;1
35;3526902;6;-22.562906;-47.401383;1
35;3526902;6;-22.562916;-47.401529;1
35;3526902;6;-22.562990;-47.401567;1
35;3526902;5;-22.563962;-47.399859;1
35;3526902;6;-22.563682;-47.399671;1
35;3526902;4;-22.563440;-47.399598;1
35;3526902;7;-22.563615;-47.399797;1
35;3526902;6;-22.563694;-47.399986;1
35;3526902;7;-22.563757;-47.399970;1
35;3526902;6;-22.563388;-47.400087;1
35;3526902;1;-22.564312;-47.399976;1
35;3526902;1;-22.564325;-47.400027;1
35;3526902;5;-22.564475;-47.400229;1
35;3526902;5;-22.564475;-47.400229;1
35;3526902;5;-22.564475;-47.400229;1
35;3526902;6;-22.564210;-47.399908;1
35;3526902;6;-22.564198;-47.399912;1
35;3526902;6;-22.564606;-47.400090;1
35;3526902;6;-22.564389;-47.400302;1
35;3526902;6;-22.563405;-47.400454;1
35;3526902;6;-22.564405;-47.400396;1
35;3526902;6;-22.563908;-47.400464;1
35;3526902;6;-22.564261;-47.400518;1
35;3526902;6;-22.564409;-47.400829;1
35;3526902;6;-22.564230;-47.400602;1
35;3526902;6;-22.564201;-47.400627;1
35;3526902;6;-22.564305;-47.400573;1
35;3526902;6;-22.564258;-47.400566;1
35;3526902;6;-22.564032;-47.400807;1
35;3526902;1;-22.564044;-47.400929;1
35;3526902;6;-22.563803;-47.400850;1
35;3526902;6;-22.563223;-47.400311;1
35;3526902;6;-22.563382;-47.400426;1
35;3526902;6;-22.563481;-47.400341;1
35;3526902;5;-22.563375;-47.400541;1
35;3526902;6;-22.563587;-47.400632;1
35;3526902;6;-22.563498;-47.400649;1
35;3526902;6;-22.563404;-47.400581;1
35;3526902;6;-22.562583;-47.400492;1
35;3526902;6;-22.564522;-47.400289;1
35;3526902;6;-22.564114;-47.400506;1
35;3526902;6;-22.564278;-47.400555;1
35;3526902;6;-22.564139;-47.400583;1
35;3526902;6;-22.564252;-47.400811;1
35;3526902;6;-22.564439;-47.402948;1
35;3526902;6;-22.562871;-47.400785;1
35;3526902;6;-22.564228;-47.400676;4
35;3526902;6;-22.564228;-47.400676;4
35;3526902;5;-22.564228;-47.400676;4
35;3526902;5;-22.563970;-47.400810;1
35;3526902;6;-22.564529;-47.400396;1
35;3526902;6;-22.564974;-47.400692;1
35;3526902;6;-22.564985;-47.400572;1
35;3526902;6;-22.565103;-47.400424;1
35;3526902;6;-22.564947;-47.400739;1
35;3526902;6;-22.564937;-47.400735;1
35;3526902;5;-22.565049;-47.400824;1
35;3526902;6;-22.565050;-47.400878;1
35;3526902;6;-22.565081;-47.400845;1
35;3526902;5;-22.565024;-47.400967;1
35;3526902;1;-22.565114;-47.401032;1
35;3526902;1;-22.564932;-47.401124;1
35;3526902;6;-22.564932;-47.401124;1
